news_source,news_title,news_link,news_publish_date
CNC3 Television,Mayaro MP backs PM on school discipline,https://www.cnc3.co.tt/mayaro-mp-backs-pm-on-school-discipline/?utm_source=rss&utm_medium=rss&utm_campaign=mayaro-mp-backs-pm-on-school-discipline,"Wed, 09 Sep 2026 13:02:47 +0000"
CNC3 Television,Benjamin: TTPS focusing on root causes of student fights,https://www.cnc3.co.tt/benjamin-ttps-focusing-on-root-causes-of-student-fights/?utm_source=rss&utm_medium=rss&utm_campaign=benjamin-ttps-focusing-on-root-causes-of-student-fights,"Wed, 09 Sep 2026 02:25:08 +0000"
CNC3 Television,"Four schoolboys suspended for 7 days after fight on first day of school…Minister, police express disappointment over incident",https://www.cnc3.co.tt/four-schoolboys-suspended-for-7-days-after-fight-on-first-day-of-school-minister-police-express-disappointment-over-incident/?utm_source=rss&utm_medium=rss&utm_campaign=four-schoolboys-suspended-for-7-days-after-fight-on-first-day-of-school-minister-police-express-disappointment-over-incident,"Wed, 09 Sep 2026 02:25:06 +0000"
CNC3 Television,TTUTA rates school reopening 6 to 7 out of 10,https://www.cnc3.co.tt/ttuta-rates-school-reopening-6-to-7-out-of-10/?utm_source=rss&utm_medium=rss&utm_campaign=ttuta-rates-school-reopening-6-to-7-out-of-10,"Wed, 09 Sep 2026 02:25:02 +0000"
CNC3 Television,PM doubles down on call to remove violent students from schools: Take them into your homes,https://www.cnc3.co.tt/pm-doubles-down-on-call-to-remove-violent-students-from-schools-take-them-into-your-homes/?utm_source=rss&utm_medium=rss&utm_campaign=pm-doubles-down-on-call-to-remove-violent-students-from-schools-take-them-into-your-homes,"Wed, 09 Sep 2026 02:24:58 +0000"
CNC3 Television,Relative insists Tobago schoolboy not a troublemaker,https://www.cnc3.co.tt/relative-insists-tobago-schoolboy-not-a-troublemaker/?utm_source=rss&utm_medium=rss&utm_campaign=relative-insists-tobago-schoolboy-not-a-troublemaker,"Wed, 09 Sep 2026 02:24:55 +0000"
CNC3 Television,Sending home bad behaved students is not enough,https://www.cnc3.co.tt/sending-home-bad-behaved-students-is-not-enough/?utm_source=rss&utm_medium=rss&utm_campaign=sending-home-bad-behaved-students-is-not-enough,"Wed, 09 Sep 2026 02:24:55 +0000"
CNC3 Television,Beyond emotional regionalism,https://www.cnc3.co.tt/beyond-emotional-regionalism/?utm_source=rss&utm_medium=rss&utm_campaign=beyond-emotional-regionalism,"Wed, 09 Sep 2026 02:24:54 +0000"
CNC3 Television,Opposition calls on PM to address SoE when Parliament resumes Friday,https://www.cnc3.co.tt/opposition-calls-on-pm-to-address-soe-when-parliament-resumes-friday/?utm_source=rss&utm_medium=rss&utm_campaign=opposition-calls-on-pm-to-address-soe-when-parliament-resumes-friday,"Wed, 09 Sep 2026 02:24:52 +0000"
CNC3 Television,Prison officers held on PDO in Golden Grove smuggling network,https://www.cnc3.co.tt/prison-officers-held-on-pdo-in-golden-grove-smuggling-network/?utm_source=rss&utm_medium=rss&utm_campaign=prison-officers-held-on-pdo-in-golden-grove-smuggling-network,"Wed, 09 Sep 2026 02:24:49 +0000"
TTT Live Online,Supervisor’s Summit – Holding Things Together,https://www.ttt.live/supervisors-summit-holding-things-together/?utm_source=rss&utm_medium=rss&utm_campaign=supervisors-summit-holding-things-together,"Wed, 09 Sep 2026 13:35:22 +0000"
